z,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-01-31,45.892395,293.77432,117.165344,85.88218,117.00319,246.49382,88.73203,120.30235
1981-02-28,63.645977,184.33612,187.56682,158.68837,150.381,344.3134,228.47325,181.79805
1981-03-31,80.22417,296.8976,127.73911,113.7447,83.702354,84.256966,49.089462,63.37633
1981-04-30,10.005697,31.920988,31.508286,28.22799,17.974876,60.590965,30.901087,27.770443
1981-05-31,3.0150893,11.158471,5.4826922,5.022005,2.1598895,6.978497,1.632866,0.97693145
1981-06-30,0.19521552,1.6658645,0.36902818,0.70599747,1.1435366,0.9590212,0.48881736,0.37034413
1981-07-31,0.46035737,0.56248844,0.67701495,0.313568,0.9899232,0.96529144,0.76945096,0.77169013
1981-08-31,6.641862,19.552374,9.022709,16.539272,30.079855,18.534876,13.000956,16.724962
1981-09-30,10.100362,42.99886,27.823927,14.175393,11.168687,7.0460777,5.9065123,4.268297
1981-10-31,23.266209,52.32102,34.71855,34.869366,44.016243,32.73084,17.892704,15.805162
1981-11-30,23.625305,45.237713,40.593613,41.01906,85.50331,75.27094,75.70047,79.82861
1981-12-31,82.0599,148.78513,76.48303,73.41282,143.55324,88.69208,85.40977,108.958305
1982-01-31,30.468737,211.77611,106.79653,61.46719,96.274445,319.08316,81.44872,74.79905
1982-02-28,81.028465,207.58662,189.01352,125.59444,107.5093,276.83188,178.2641,141.88731
1982-03-31,46.74991,393.5654,103.14178,127.035255,85.81854,38.791428,20.521843,46.62719
1982-04-30,11.9822645,39.352768,41.41026,41.254635,24.030169,79.59045,29.072428,29.728802
1982-05-31,0.6390615,4.303628,2.6209981,3.5367172,2.6079829,6.6799564,1.7031109,0.82249963
1982-06-30,2.2570238,6.10932,2.1040907,2.094534,2.3471866,3.624037,2.3876185,0.8112206
1982-07-31,0.9138865,1.6910075,0.5893486,0.30189815,0.7418554,1.660212,0.791067,1.1493803
1982-08-31,1.9979979,4.784376,3.7463453,7.20427,13.731381,7.456544,4.419152,5.424069
1982-09-30,12.315291,28.563606,48.862118,17.880241,16.641829,29.601332,15.087546,10.489252
1982-10-31,13.198856,31.445522,25.109604,27.995476,47.549786,42.010612,31.013298,44.807304
1982-11-30,17.943056,34.229134,32.8199,31.617386,71.993126,80.38684,48.817207,62.57541
1982-12-31,38.290115,59.842983,50.475925,38.49474,49.67997,103.090744,62.73448,37.120464
1983-01-31,39.55175,239.42569,126.5236,94.155495,116.72838,306.28577,110.74712,85.6958
1983-02-28,45.48221,98.98445,98.47767,64.47282,53.236374,123.67403,94.41666,60.4578
1983-03-31,35.058044,119.14742,105.918274,108.571465,131.12366,181.55255,108.021675,116.27004
1983-04-30,12.500431,39.08783,28.792885,34.81819,38.336575,51.61945,37.88684,57.365402
1983-05-31,0.66951615,5.340899,0.7801436,2.1501226,4.0517616,2.4118464,1.4414395,2.461361
1983-06-30,5.6112957,13.041039,8.410759,7.325302,5.4232364,9.291237,5.0939527,3.6036386
1983-07-31,0.621977,1.0975534,0.6987129,0.63627344,1.4525682,1.5507857,1.0860103,1.5578971
1983-08-31,1.6806427,1.759057,1.7566795,1.7157366,0.9196197,2.53327,1.1373672,0.6942842
1983-09-30,14.2839985,39.57953,69.65004,29.704004,29.594828,37.373585,24.0197,15.273689
1983-10-31,2.2644265,4.97815,3.3814855,3.425893,4.8080435,7.5002956,3.0903947,2.6740136
1983-11-30,7.286266,12.105874,14.71957,11.899026,28.912674,27.366043,22.731947,23.199373
1983-12-31,70.3304,95.732635,88.54993,60.667908,95.24044,157.235,112.53428,106.09224
1984-01-31,46.38309,305.74725,152.5171,91.978836,117.89038,485.29477,125.36269,123.19455
1984-02-29,76.35123,163.2672,179.07338,136.55014,148.36172,301.71695,242.83073,261.2721
1984-03-31,97.21889,195.94203,257.5216,152.75803,110.327644,307.5018,145.9797,180.75543
1984-04-30,22.487047,62.68524,90.53366,69.9842,23.28058,161.57776,37.228218,23.868788
1984-05-31,12.699333,39.1022,29.600624,20.23758,9.995591,33.494453,10.483977,6.6590843
1984-06-30,10.245208,41.223206,29.622923,19.968946,27.149733,58.2025,19.07277,17.78037
1984-07-31,1.7478207,2.108354,2.5248997,1.0985569,2.4687347,2.3659277,1.9922361,3.399571
1984-08-31,4.535757,9.155919,4.9527726,6.563346,11.460079,8.050107,5.635036,4.0148306
1984-09-30,9.835557,25.400696,44.672752,10.827182,5.229688,16.716911,7.323883,3.543433
1984-10-31,20.80223,48.55414,30.558525,54.340534,73.89232,56.66129,46.30611,40.24416
1984-11-30,21.572199,53.486774,30.584833,43.151245,94.63411,58.550682,62.036915,108.60029
1984-12-31,64.25555,95.80016,82.21242,63.91409,99.27987,188.14882,131.01782,125.01035
1985-01-31,49.91794,262.51648,164.21674,97.35835,101.42854,308.2571,95.929985,64.59029
1985-02-28,47.555103,116.24083,98.95673,73.637054,76.52787,122.518425,106.96289,125.97101
1985-03-31,47.534863,248.8148,146.63046,125.15853,105.266594,168.2763,81.61673,81.04773
1985-04-30,22.30351,96.191246,82.12702,82.02451,38.31544,174.97926,55.961143,47.24678
1985-05-31,6.8968225,20.024189,15.270464,15.897666,14.524937,20.632538,7.360186,5.145085
1985-06-30,3.225211,10.538829,7.0816894,7.1859155,9.172215,19.57686,8.812723,4.8020053
1985-07-31,1.3092767,3.5626502,1.1974524,1.6786468,4.4321256,2.4988759,2.0664792,3.8115795
1985-08-31,6.207284,7.4409957,8.341729,7.623668,2.7107604,8.408119,4.031827,2.5674193
1985-09-30,11.79004,36.076717,44.7791,23.609102,14.447355,16.674576,10.163193,6.4094872
1985-10-31,7.069315,11.632957,11.847184,10.914537,12.961124,20.054476,7.758349,5.785312
1985-11-30,21.637316,26.222754,30.127905,24.72721,40.151237,43.034443,31.402084,31.872913
1985-12-31,58.8896,106.572,79.32947,64.75614,130.32568,156.85172,125.63661,137.37181
1986-01-31,50.87159,265.66074,116.25069,100.561676,147.212,258.64917,129.40945,177.52974
1986-02-28,61.890812,151.1224,148.85959,101.004395,99.71039,201.84557,132.64235,121.973045
1986-03-31,61.61121,408.60083,232.30922,257.76654,238.59026,205.19975,118.50671,160.58098
1986-04-30,16.609015,48.09668,49.66939,57.585175,35.215298,120.0313,47.809853,30.033743
1986-05-31,2.801163,6.5744867,9.065135,6.1784315,4.3152714,13.5234995,5.059575,2.9626973
1986-06-30,0.104905486,0.6374575,0.16531874,0.24726301,0.35250938,0.33690733,0.16418661,0.14768668
1986-07-31,0.62794495,2.0776398,1.308551,2.1635065,5.976228,2.7563903,2.680134,4.966144
1986-08-31,8.0339155,16.8174,12.429786,18.854822,22.54293,17.795794,12.470605,14.405936
1986-09-30,9.421566,31.582094,46.030357,15.152267,20.784283,22.61271,10.808619,8.050441
1986-10-31,5.3253965,13.192002,10.845544,8.473187,12.703518,18.878645,5.227537,5.2462296
1986-11-30,4.630714,7.9690495,10.86779,8.847519,32.934357,33.95943,24.686201,27.205095
1986-12-31,40.502975,66.121155,53.685997,44.62732,84.17399,103.02666,74.36995,78.53709
1987-01-31,43.92134,208.90245,95.25328,86.79034,116.03604,218.1672,107.36228,122.873856
1987-02-28,67.58271,119.624466,129.08476,86.00359,66.31915,151.58374,112.45976,77.09386
1987-03-31,45.828148,201.92146,143.43166,142.61714,135.28288,152.05632,78.85642,68.47963
1987-04-30,7.597036,20.429132,24.941696,18.959263,10.50257,44.738724,12.856048,9.156032
1987-05-31,2.0462673,15.666452,8.06001,8.30202,5.6448007,15.075051,2.6571283,0.915935
1987-06-30,2.8755329,10.151291,5.7000904,6.0925136,4.683002,8.862611,4.8013,2.9764147
1987-07-31,3.952243,9.021235,5.0086784,5.25325,12.840488,6.021965,5.3403897,9.491441
1987-08-31,0.46533796,1.6004665,0.9190451,2.4896317,7.583913,5.1005783,3.3508785,4.3377805
1987-09-30,11.93675,15.963697,47.629303,10.218951,3.8712754,23.688402,9.394418,3.914491
1987-10-31,15.843973,29.311007,29.53232,29.038599,34.223663,50.860744,29.461725,18.483309
1987-11-30,17.064459,34.067963,30.59867,33.087738,53.10032,68.376045,48.945793,38.146954
1987-12-31,81.23813,116.73447,90.08957,51.456623,52.390907,146.08221,65.09775,37.019466
1988-01-31,43.920013,202.00966,114.87979,97.2323,132.7539,318.3584,140.64645,153.45636
1988-02-29,56.812916,132.87215,141.22508,113.095894,110.75232,190.14445,166.30894,139.80731
1988-03-31,29.104116,210.24365,121.63402,137.36002,154.00063,143.67479,80.06077,101.406136
1988-04-30,2.881504,11.633726,11.420334,12.569004,15.378459,31.462906,14.62542,17.15181
1988-05-31,10.3403015,33.687363,24.825834,24.270653,17.335136,37.3291,15.66089,13.034309
1988-06-30,3.7240322,11.026997,4.9468875,4.373047,3.1612537,6.3326554,2.8982387,1.4259717
1988-07-31,0.4272467,0.51206,0.2783992,0.09099387,0.6032401,0.809994,0.42586932,0.70296055
1988-08-31,0.7161447,0.70959365,0.9547027,0.73743415,0.4502223,2.1801114,0.62891567,0.36036608
1988-09-30,15.762554,28.161922,55.07646,14.239991,6.028454,30.848724,13.816719,7.4660573
1988-10-31,25.991552,50.111584,42.660183,41.088245,37.90074,56.67472,26.40313,13.50721
1988-11-30,7.2771716,14.279259,11.569246,12.572395,25.82151,30.516306,22.048346,16.842804
1988-12-31,71.51379,127.396225,99.33571,84.69232,120.94211,180.1214,133.98053,130.30545
1989-01-31,41.76529,256.67758,125.39699,110.59006,148.72778,350.36124,143.66034,158.57492
1989-02-28,44.75733,108.845505,102.734566,92.13485,90.19805,144.99701,112.75391,103.00816
1989-03-31,54.275826,262.8064,165.86517,199.08572,235.18646,251.68996,163.18744,187.3171
1989-04-30,21.103275,98.75831,58.018806,78.61933,40.595966,99.84091,57.642197,44.26177
1989-05-31,2.9234753,12.13149,10.004346,12.353819,8.690062,21.22855,8.684023,5.0911813
1989-06-30,9.453482,39.568905,17.380953,17.874,16.610748,32.437786,14.952775,8.456041
1989-07-31,1.2753417,2.5836666,1.3732774,0.9350192,3.3201718,1.7096486,1.8310847,2.7026343
1989-08-31,12.343819,21.980864,15.986946,22.623224,22.894709,21.849375,15.160611,12.849493
1989-09-30,17.558111,48.790466,80.66793,34.580013,24.60504,40.67888,24.09121,13.7258415
1989-10-31,30.388254,58.083797,52.449833,52.49257,64.48662,94.611145,39.341618,34.807167
1989-11-30,37.208195,70.73299,66.83374,62.574978,67.775604,96.7719,70.516685,44.29423
1989-12-31,73.880356,106.73105,77.97384,47.93301,42.90836,126.84949,67.59451,30.129536
1990-01-31,23.284575,164.42006,83.416756,69.58595,111.22259,233.16266,86.67131,73.22086
1990-02-28,74.23845,119.82483,133.77249,68.352974,34.17099,145.87903,82.18157,30.315716
1990-03-31,34.365246,197.72768,141.88264,121.741486,107.998375,173.3437,77.80434,62.21767
1990-04-30,14.83799,50.97236,40.295956,42.69526,21.358912,83.34534,27.51505,17.718508
1990-05-31,1.3264465,6.6903796,5.8840985,7.3360744,12.883986,17.37281,7.6819067,5.5566645
1990-06-30,27.994364,116.25698,46.473873,58.27237,76.62102,64.47466,39.38671,27.156223
1990-07-31,3.4634562,8.981839,4.2917037,5.0182896,8.121384,8.856637,6.110293,6.854952
1990-08-31,12.996856,23.697735,18.795256,21.394321,13.197365,20.370762,12.1556635,7.8359246
1990-09-30,41.567463,120.36483,195.22122,81.22312,47.23988,102.52842,48.079426,21.057276
1990-10-31,34.52469,62.771843,62.473206,62.774128,60.012085,87.442566,51.248238,34.139256
1990-11-30,15.541058,33.39004,29.813375,34.53213,79.64126,74.21257,65.17637,86.27891
1990-12-31,60.56791,109.20893,70.478676,62.109493,101.19969,119.72035,91.45485,87.811714
1991-01-31,33.33176,207.9161,105.94922,67.37583,86.98443,287.6296,90.530136,79.40246
1991-02-28,68.08003,145.95058,133.35454,98.52442,96.52259,156.72185,130.47911,99.57865
1991-03-31,66.97435,298.13174,191.66177,180.59499,159.49153,220.35341,113.67775,149.52538
1991-04-30,14.706303,47.434345,50.51759,46.691647,24.405777,88.31751,34.27626,29.825201
1991-05-31,5.5430326,24.823158,13.313769,16.467152,8.343879,24.679953,7.554716,5.6977377
1991-06-30,8.233833,33.11748,12.861363,17.760315,18.17732,17.391329,9.7234745,8.429054
1991-07-31,0.9716381,3.1083798,1.6006123,2.1800697,4.413499,4.295796,3.7898698,4.053971
1991-08-31,1.6569889,1.9489623,2.1491332,1.7150116,1.4393936,5.1890607,2.0799572,1.0482647
1991-09-30,12.531245,28.235533,52.1566,22.507776,16.221916,29.08075,16.473164,10.461783
1991-10-31,13.61791,34.050213,28.296303,29.445368,43.916763,50.370293,26.641592,37.44013
1991-11-30,23.468037,50.937794,40.282528,48.091263,77.15183,71.77823,62.53331,58.453587
1991-12-31,42.4876,59.151936,49.017403,39.91081,59.93381,105.63458,66.75285,40.937126
1992-01-31,30.137892,157.55505,105.40942,74.83079,86.972496,198.66048,62.83155,46.69993
1992-02-29,46.12007,111.64058,115.847595,85.88265,84.36016,156.8244,95.41972,49.003086
1992-03-31,35.37108,203.93022,155.4983,161.72662,143.55702,153.5905,68.469795,56.725075
1992-04-30,11.584738,24.834198,28.634966,25.028294,21.269682,38.215446,21.222857,18.714035
1992-05-31,1.2761337,3.4211102,6.907671,4.7354703,2.840768,14.012604,3.1010973,1.5944104
1992-06-30,8.187719,39.480003,17.40542,17.486753,19.336838,25.363943,12.453724,6.2602234
1992-07-31,4.2758927,10.748694,4.5135946,5.271135,10.558603,8.183302,6.69792,6.71273
1992-08-31,23.877026,34.127426,32.275833,29.161983,21.164246,37.011185,15.111094,9.81836
1992-09-30,21.097446,41.260372,112.835266,27.2829,15.333555,52.144432,20.89048,7.9226093
1992-10-31,25.704597,49.267487,41.220608,47.173534,50.970043,70.98332,37.09127,26.241026
1992-11-30,28.672699,48.938496,46.51529,39.89864,58.84157,75.86249,50.85129,39.67485
1992-12-31,52.793392,79.43866,70.06432,50.60448,75.61467,123.47006,85.9326,67.22705
1993-01-31,41.246227,258.0279,125.03785,88.63937,130.67116,404.06512,123.66199,139.23085
1993-02-28,64.11037,141.19504,131.48543,105.25322,106.30119,165.096,144.63927,126.11546
1993-03-31,52.764282,231.36894,176.82178,183.56302,187.18982,232.05223,136.93466,181.20921
1993-04-30,24.643438,82.34113,76.523026,74.10485,52.66662,138.86859,57.833088,55.037434
1993-05-31,4.614687,27.45076,18.138754,17.259098,16.78111,35.744553,15.31191,9.004759
1993-06-30,9.235186,31.697289,15.477095,16.679998,15.054197,19.008226,10.308391,6.861193
1993-07-31,4.8305473,11.879759,6.640778,7.014658,12.125124,15.18396,8.051135,8.193339
1993-08-31,16.87535,24.027111,14.982086,18.219366,13.046187,14.50776,8.560896,6.0344486
1993-09-30,18.232412,55.02249,71.53002,26.404268,21.662796,27.83646,17.041874,10.845592
1993-10-31,38.074715,65.07538,66.3249,69.903336,83.71122,118.32093,68.96426,50.627064
1993-11-30,40.07754,83.00859,57.692398,68.85103,113.95381,111.52295,98.81893,87.809845
1993-12-31,96.97322,134.82912,121.03594,102.90415,156.5848,254.27469,185.9589,176.56474
1994-01-31,59.478928,331.54672,161.68124,141.53375,193.6384,455.20267,167.00064,204.89738
1994-02-28,73.72891,148.79337,173.83319,147.02724,181.00789,266.52298,206.60136,250.00177
