time,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-01-01,4.0791287,0.3805948,0.4120822,0.17015637,0.048264235,0.037013914,0.0029598747,0.005888255
1981-01-02,0.8460724,4.4616485,5.432926,4.039377,4.4615655,2.9541414,3.010326,2.784981
1981-01-03,12.517895,2.6389842,6.9403253,0.73220336,1.5825826,2.3729067,0.16313931,0.16359425
1981-01-04,0.2529407,0.44824326,0.667124,5.911694,9.797349,0.4738288,6.3059845,7.3513536
1981-01-05,8.526868,9.435371,15.413962,9.776044,9.8298,10.514619,9.67652,7.543349
1981-01-06,11.346781,9.45173,14.268171,6.462583,5.245116,7.4055305,9.594123,6.668159
1981-01-07,0.5884195,0.046581466,0.12596437,0.75715137,3.4496439,1.0507871,2.1071377,5.425565
1981-01-08,3.7273283,1.3348845,8.226084,0.7968826,3.1115806,7.872094,3.3645205,3.5451937
1981-01-09,1.9380234,3.3312442,9.6103325,9.585126,11.401044,3.6558707,5.974382,10.200284
1981-01-10,2.0274465,0.8081028,2.237892,3.0507236,7.7113695,6.1219063,7.769194,7.070649
1981-01-11,7.9528017,4.9252048,9.827015,5.246817,5.484273,2.9955924,3.5814278,3.954521
1981-01-12,8.464661,6.1582546,6.0456023,4.073774,5.5407705,4.0374584,2.9428265,3.555223
1981-01-13,6.065969,2.305569,3.5545418,2.4865692,4.3198547,1.9000611,2.3041294,2.785744
1981-01-14,0.41124424,0.1294062,0.111755766,0.898053,3.9911404,0.4932685,1.9530135,3.483766
1981-01-15,0.6257219,0.57664955,0.87416273,2.2800565,2.8640795,1.7710782,3.373915,3.3091726
1981-01-16,1.1154149,1.9601392,0.8866431,3.2735038,4.3196545,0.7667359,1.1764154,1.9704136
1981-01-17,1.4367281,1.388475,13.378341,6.77777,3.7984476,13.203688,13.016062,4.9197865
1981-01-18,1.091439,0.29276595,0.40864912,0.24026623,0.36771894,1.3689827,3.1035693,1.6672034
1981-01-19,0.112749144,0.2259965,0.043742772,0.02942215,0.56211686,0.02345314,5.844205e-05,2.3361733e-06
1981-01-20,11.12345,8.043953,13.46497,7.4412975,6.85437,6.7592945,6.2289996,6.648007
1981-01-21,12.488546,2.5379589,17.505436,8.053576,5.851752,9.090778,7.430959,6.540903
1981-01-22,5.8969545,1.678185,6.3455315,3.2721124,2.8117967,3.4712715,3.4197671,2.5571232
1981-01-23,11.681028,8.4752865,13.826445,7.117714,5.5021877,7.8442554,5.387601,5.052655
1981-01-24,1.7705327,1.6202317,0.91475743,2.3597498,0.58820695,0.18603079,1.2534198,0.7813786
1981-01-25,0.34348574,0.64386857,0.023415055,0.1991306,2.934357,0.57376266,0.0718342,0.6157443
1981-01-26,2.7088675,5.927176,2.5968125,9.700341,16.296173,7.9664927,13.565302,14.430076
1981-01-27,16.39684,16.659145,13.753791,13.17735,14.511676,9.682025,13.40198,13.041065
1981-01-28,1.0932411,0.53874534,0.9693056,0.7737892,1.5095985,2.154207,1.4618809,1.9111062
1981-01-29,0.31056708,0.4625125,0.38926432,0.4217688,1.1704901,2.8064852,2.060206,3.0548031
1981-01-30,0.2512922,0.48194677,0.2707545,0.44101906,2.2796388,1.8151125,1.5315874,4.4404664
1981-01-31,34.717472,31.325148,36.360485,27.77752,22.864609,14.447601,16.256098,17.036295
1981-02-01,1.6553309,2.7428145,6.847842,3.5665858,2.9784248,8.677803,3.9675047,1.9567587
1981-02-02,0.20567855,0.009445602,0.03793816,0.15704603,3.3618455,0.055369627,0.15504938,1.8481088
1981-02-03,5.0022902,7.010855,3.6319761,6.7607775,14.565582,2.033945,6.6025133,10.586636
1981-02-04,9.995059,2.538784,11.524669,5.2420254,2.8963025,6.713028,4.864772,3.1664126
1981-02-05,2.248657,4.344273,3.9542098,4.71149,7.1519604,5.6433864,5.4306974,6.8884377
1981-02-06,6.2255235,2.9187539,14.6225395,7.479016,10.939318,13.440084,8.719607,8.263813
1981-02-07,14.891235,10.668052,16.759892,12.667988,12.890769,10.067043,10.116025,8.173788
1981-02-08,15.7920475,12.349356,15.388454,10.147879,11.251252,10.172891,9.925384,10.975177
1981-02-09,14.456268,13.419667,22.162687,17.16483,16.81023,20.53357,21.32032,13.857259
1981-02-10,4.3286324,4.3076115,6.5368023,5.060128,5.3397098,2.0154529,3.3309011,4.08846
1981-02-11,2.7424486,2.9567628,9.158113,4.506982,4.861051,8.716036,6.048181,4.862689
1981-02-12,6.156553,3.9945736,9.741579,6.9176693,11.578794,13.39825,14.902318,9.887002
