z,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-01-01 12:00:00,0.6647575,6.0597873,0.3640098,0.3358747,0.28012514,0.21387954,0.17810395,0.21103284
1981-01-02 12:00:00,0.0,7.650686,2.068183,0.496176,2.9078956,8.364269,0.94214725,1.7927828
1981-01-03 12:00:00,2.742329,13.385285,5.118862,3.4885442,3.7529476,7.9860754,2.1050959,2.3143315
1981-01-04 12:00:00,0.35824564,2.4010613,1.1004137,2.2319553,6.166509,1.0701423,2.2266433,4.2698693
1981-01-05 12:00:00,2.870207,28.860182,9.497166,5.680405,2.2811635,24.480259,4.9458604,2.3645184
1981-01-06 12:00:00,4.072513,11.242789,9.889968,3.5956993,6.6162076,15.864228,5.845684,5.6590304
1981-01-07 12:00:00,0.24223945,1.6946803,0.9749424,1.2855175,7.534852,2.7637107,1.6140246,6.6522603
1981-01-08 12:00:00,0.38595754,2.1230943,3.1057975,1.6198188,4.789951,8.436682,3.568321,6.5134215
1981-01-09 12:00:00,0.15857592,0.7357501,1.1330796,1.3369879,2.384212,1.4171284,1.7528756,2.78529
1981-01-10 12:00:00,0.5062138,2.83632,1.695759,1.704539,3.7822266,6.3230634,2.6592846,3.45212
1981-01-11 12:00:00,0.47039205,4.0020666,2.5775974,1.555592,2.6303504,7.1675267,2.1084313,2.4896834
1981-01-12 12:00:00,5.4741573,33.25685,7.0161953,7.1240644,7.4599605,4.350634,3.4632835,4.7077594
1981-01-13 12:00:00,2.2753458,11.007602,4.187186,3.2057455,4.2921596,7.4599185,3.410124,5.821435
1981-01-14 12:00:00,0.13302349,0.45741862,0.6245799,0.5469398,0.92700046,5.792513,0.9835687,4.432136
1981-01-15 12:00:00,1.019681,4.280385,2.872802,2.135474,2.4269357,7.417263,2.7489977,3.1148036
1981-01-16 12:00:00,3.2776725,18.528341,4.9112115,5.341048,6.2875543,10.194548,2.6040604,4.326381
1981-01-17 12:00:00,0.0,2.7991412,3.1261842,1.1601634,1.1742952,11.586833,1.9364164,1.8345306
1981-01-18 12:00:00,0.53351146,2.4739854,1.5336138,1.2735294,1.5360336,5.3066626,2.6729145,1.6350363
1981-01-19 12:00:00,1.3051,5.3959002,2.5970767,1.9047749,1.6388371,5.7409225,1.4951994,1.5073942
1981-01-20 12:00:00,1.4049859,11.081921,6.1218476,2.3312235,1.1630923,9.88472,5.1943035,3.9243581
1981-01-21 12:00:00,0.8714693,6.681149,5.598494,2.8690143,3.2901132,9.221254,2.5647488,3.0007267
1981-01-22 12:00:00,1.2532473,9.677479,3.5747993,2.0744133,2.9139323,4.0158315,1.5744832,2.5485218
1981-01-23 12:00:00,3.023556,26.203104,7.957314,4.3285813,4.3529396,10.057087,2.9686086,3.6738696
1981-01-24 12:00:00,0.37188336,6.092431,0.79915535,1.4528564,1.0658972,0.86656535,0.78760445,1.4582293
1981-01-25 12:00:00,0.1886127,1.3969258,0.6971356,0.82687294,1.8395991,2.536517,0.8928896,1.141722
1981-01-26 12:00:00,0.5212611,5.1204677,2.1225495,2.3318756,4.6868987,14.383599,3.6228619,3.9517379
